Названия;Описание товара;в наличие товара;Ссылка на товар
Ноутбук HP Probook 450 G7 Intel Core i3-10110U 8GB DDR4 1000GB HDD FHD DOS BL серебристый;60960 сом;"Ноутбук HP Probook 450 G7 Intel Core i3-10110U 8GB DDR4 1000GB HDD FHD DOS BL серебристыйОперационная система DOS; 2х-ядерный процессор 2.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель HDD 1000 Гб; подсветка клавиатуры; вес от 2 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-hp-probook-450-g7-intel-core-i3-10110u-8gb-ddr4-1000gb-hdd-fhd-dos-bl-serebristyy
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 4GB DDR4 500GB HDD Nvidia Geforce MX230 2GB HD черный;47660 сом;"Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 4GB DDR4 500GB HDD Nvidia Geforce MX230 2GB HD черныйТип: ноутбук; Процессор: Intel Core i3-10110U; Разрешение экрана: 1366x768 HD; Графический контроллер: Nvidia GeForce MX230; Объем оперативной памяти: 4 GB DDR4; Объем накопителя HDD: 500 GB; Вес: от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-aspire-a315-55g-intel-core-i3-10110u-4gb-ddr4-500gb-hdd-nvidia-geforce-mx230-2gb-hd-chernyy
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 512GB SSD FHD DOS Black;46100 сом;"Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 512GB SSD FHD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; DVDRW нет; вес от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-52-intel-core-i3-1005g1-8gb-ddr4-512gb-ssd-fhd-dos-black
Ноутбук Asus X515MA Intel Pentium N5030 4GB DDR4 1000GB HDD DOS Grey;34340 сом;"Ноутбук Asus X515MA Intel Pentium N5030 4GB DDR4 1000GB HDD DOS GreyОперационная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель HDD 1000 Гб; вес от 1.8 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515ma-intel-pentium-n5030-4gb-ddr4-1000gb-hdd-dos-grey
Ноутбук Acer Extensa EX215-52-36GF Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 512GB SSD DOS Black;51230 сом;"Ноутбук Acer Extensa EX215-52-36GF Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 512GB SSD DOS BlackОперационная система DOS; процессор Intel Core i3 (2/4) 1200 MHz; видеоадаптер Intel Graphics; экран 15.6"" TN 1366x768; оперативная память 12 GB DDR4; накопитель HDD 1000 GB + SSD 512 GB;...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-52-36gf-intel-core-i3-1005g1-12gb-ddr4-1000gb-hdd-512gb-ssd-dos-black
Ноутбук Asus ROG Strix G513QE-HN029 AMD Ryzen 5 5600H 16GB DDR4 512GB SSD NVIDIA RTX3050Ti FHD DOS Grey;122030 сом;"Ноутбук Asus ROG Strix G513QE-HN029 AMD Ryzen 5 5600H 16GB DDR4 512GB SSD NVIDIA RTX3050Ti FHD DOS GreyОперационная система DOS; процессор Ryzen 5 5600H (6/12) 3300 MHz; видеоадаптер GeForce RTX3050Ti; экран 15.6"" IPS 1920x1080; оперативная память 16 GB DDR4; накопитель SSD 512 GB; DVDRW нет; вес от...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-rog-strix-g513qe-hn029-amd-ryzen-5-5600h-16gb-ddr4-512gb-ssd-nvidia-rtx3050ti-fhd-dos-grey
Ноутбук HP Probook 450 G7 Intel Core i3-10110U 12GB DDR4 1000GB HDD FHD DOS BL серебристый;63130 сом;"Ноутбук HP Probook 450 G7 Intel Core i3-10110U 12GB DDR4 1000GB HDD FHD DOS BL серебристыйОперационная система DOS; 2х-ядерный процессор 2.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 12 Гб; накопитель HDD 1000 Гб; подсветка клавиатуры; вес от 2 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-hp-probook-450-g7-intel-core-i3-10110u-12gb-ddr4-1000gb-hdd-fhd-dos-bl-serebristyy
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 128GB SSD Nvidia Geforce MX230 2GB HD черный;49320 сом;"Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 128GB SSD Nvidia Geforce MX230 2GB HD черныйТип: ноутбук; Процессор: Intel Core i3-10110U; Разрешение экрана: 1366x768 HD; Графический контроллер: Nvidia GeForce MX230; Объем оперативной памяти: 8 GB DDR4; Объем накопителя SSD: 128 GB; Вес: от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-aspire-a315-55g-intel-core-i3-10110u-8gb-ddr4-128gb-ssd-nvidia-geforce-mx230-2gb-hd-chernyy
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 4GB DDR4 1000GB HDD + 128GB SSD FHD DOS Black;44180 сом;"Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 4GB DDR4 1000GB HDD + 128GB SSD FHD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 4 Гб; накопитель HDD 1000 Гб + SSD 128 Гб; DVDRW нет; вес...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-52-intel-core-i3-1005g1-4gb-ddr4-1000gb-hdd-128gb-ssd-fhd-dos-black
Ноутбук Asus Pro P1440FA-FQ3026 Intel Core i3-10110U 8GB DDR4 256GB SSD DOS Black;43920 сом;"Ноутбук Asus Pro P1440FA-FQ3026 Intel Core i3-10110U 8GB DDR4 256GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 2.1 ГГц; видеоадаптер встроенный; диагональ экрана 14"" TN 1366x768; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 1.6 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-pro-p1440fa-fq3026-intel-core-i3-10110u-8gb-ddr4-256gb-ssd-dos-black
Ноутбук Asus X515MA Intel Pentium N5030 8GB DDR4 1000GB HDD DOS Grey;35650 сом;"Ноутбук Asus X515MA Intel Pentium N5030 8GB DDR4 1000GB HDD DOS GreyОперационная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 8 Гб; накопитель HDD 1000 Гб; вес от 1.8 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515ma-intel-pentium-n5030-8gb-ddr4-1000gb-hdd-dos-grey
Ноутбук Asus ZenBook 13 UX325EA Intel Core i5-1135G7 16GB DDR 512GB SSD Intel Iris X Graphics FHD WIN10 сине-серый;100410 сом;"Ноутбук Asus ZenBook 13 UX325EA Intel Core i5-1135G7 16GB DDR 512GB SSD Intel Iris X Graphics FHD WIN10 сине-серыйТип: ноутбук; Операционная система: Windows 10; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Iris X Graphics; Объем оперативной памяти: 16 GB DDR4; Объем накопителя SSD: 512 GB; Вес: от 1,07 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-zenbook-13-ux325ea-intel-core-i5-1135g7-16gb-ddr-512gb-ssd-intel-iris-x-graphics-fhd-win10-sine-seryy
Ноутбук HP Probook 450 G7 Intel Core i3-10110U 16GB DDR4 1000GB HDD FHD DOS BL серебристый;65300 сом;"Ноутбук HP Probook 450 G7 Intel Core i3-10110U 16GB DDR4 1000GB HDD FHD DOS BL серебристыйОперационная система DOS; 2х-ядерный процессор 2.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель HDD 1000 Гб; подсветка клавиатуры; вес от 2 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-hp-probook-450-g7-intel-core-i3-10110u-16gb-ddr4-1000gb-hdd-fhd-dos-bl-serebristyy
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 1000GB HDD + 128GB SSD Nvidia Geforce MX230 2GB HD черный;52710 сом;"Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 1000GB HDD + 128GB SSD Nvidia Geforce MX230 2GB HD черныйТип: ноутбук; Процессор: Intel Core i3-10110U; Разрешение экрана: 1366x768 HD; Графический контроллер: Nvidia GeForce MX230; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000 GB; Объем накопителя SSD: 128 GB; Вес: от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-aspire-a315-55g-intel-core-i3-10110u-8gb-ddr4-1000gb-hdd-128gb-ssd-nvidia-geforce-mx230-2gb-hd-chernyy
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 128GB SSD FHD DOS Black;46620 сом;"Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 128GB SSD FHD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 8 Гб; накопитель HDD 1000 Гб + SSD 128 Гб; DVDRW нет; вес...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-52-intel-core-i3-1005g1-8gb-ddr4-1000gb-hdd-128gb-ssd-fhd-dos-black
Ноутбук Asus X515MA Intel Pentium N5030 4GB DDR4 128GB SSD DOS Grey;34340 сом;"Ноутбук Asus X515MA Intel Pentium N5030 4GB DDR4 128GB SSD DOS GreyОперационная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 128 Гб; вес от 1.8 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515ma-intel-pentium-n5030-4gb-ddr4-128gb-ssd-dos-grey
Ноутбук Asus ZenBook 14 UX425EA Intel Core i5-1135G7 8GB DDR 512GB SSD Intel Iris X Graphics FHD WIN10 сине-серый;100410 сом;"Ноутбук Asus ZenBook 14 UX425EA Intel Core i5-1135G7 8GB DDR 512GB SSD Intel Iris X Graphics FHD WIN10 сине-серыйТип: ноутбук; Операционная система: Windows 10; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Iris X Graphics; Объем оперативной памяти: 8 GB DDR4; Объем накопителя SSD: 512 GB; Вес: от 1,07 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-zenbook-14-ux425ea-intel-core-i5-1135g7-8gb-ddr-512gb-ssd-intel-iris-x-graphics-fhd-win10-sine-seryy
Ноутбук Lenovo IdeaPad Gaming 3i Intel Core i5-10300H 8GB DDR4 1000GB HDD + 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;80920 сом;"Ноутбук Lenovo IdeaPad Gaming 3i Intel Core i5-10300H 8GB DDR4 1000GB HDD + 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10300H; Разрешение экрана: 1920х1080 Full HD; Графический контроллер: Nvidia GTX 1650Ti; Объем оперативной памяти: 8 Gb DDR4; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb; Вес: от 2.2...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-gaming-3i-intel-core-i5-10300h-8gb-ddr4-1000gb-hdd-256gb-ssd-nvidia-gtx-1650ti-4gb-fhd-dos-chernyy
Ноутбук HP Probook 450 G7 Intel Core i3-10110U 4GB DDR4 128GB SSD FHD DOS BL серебристый;58790 сом;"Ноутбук HP Probook 450 G7 Intel Core i3-10110U 4GB DDR4 128GB SSD FHD DOS BL серебристыйОперационная система DOS; 2х-ядерный процессор 2.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 4 Гб; накопитель SSD 128 Гб; подсветка клавиатуры; вес от 2 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-hp-probook-450-g7-intel-core-i3-10110u-4gb-ddr4-128gb-ssd-fhd-dos-bl-serebristyy
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 1000GB HDD + 256GB SSD Nvidia Geforce MX230 2GB HD черный;54450 сом;"Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 1000GB HDD + 256GB SSD Nvidia Geforce MX230 2GB HD черныйТип: ноутбук; Процессор: Intel Core i3-10110U; Разрешение экрана: 1366x768 HD; Графический контроллер: Nvidia GeForce MX230; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000 GB; Объем накопителя SSD: 256 GB; Вес: от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-aspire-a315-55g-intel-core-i3-10110u-8gb-ddr4-1000gb-hdd-256gb-ssd-nvidia-geforce-mx230-2gb-hd-chernyy
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 256GB SSD FHD DOS Black;47750 сом;"Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 256GB SSD FHD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 8 Гб; накопитель HDD 1000 Гб + SSD 256 Гб; DVDRW нет; вес...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-52-intel-core-i3-1005g1-8gb-ddr4-1000gb-hdd-256gb-ssd-fhd-dos-black
Ноутбук Asus ExpertBook 14 B9450FA Intel Core i5-10210U 8GB DDR3 512GB SSD FHD DOS Star Black;100410 сом;"Ноутбук Asus ExpertBook 14 B9450FA Intel Core i5-10210U 8GB DDR3 512GB SSD FHD DOS Star BlackОперационная система DOS; 4х-ядерный процессор 1.6 ГГц; видеоадаптер встроенный; диагональ экрана 14"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; вес от 0.88 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-expertbook-14-b9450fa-intel-core-i5-10210u-8gb-ddr3-512gb-ssd-fhd-dos-star-black
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 12GB DDR4 1000GB HDD NVIDIA MX230 DOS Black;51580 сом;"Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 12GB DDR4 1000GB HDD NVIDIA MX230 DOS BlackОперационная система DOS; 2х-ядерный процессор 2.1 ГГц; видеоадаптер дискретный; экран 15.6"" TN 1366x768; объем оперативной памяти 12 Гб; накопитель HDD 1000 Гб; DVDRW нет; вес от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-aspire-a315-55g-intel-core-i3-10110u-12gb-ddr4-1000gb-hdd-nvidia-mx230-dos-black
Ноутбук Asus X515MA Intel Pentium N5030 8GB DDR4 128GB SSD DOS Grey;35650 сом;"Ноутбук Asus X515MA Intel Pentium N5030 8GB DDR4 128GB SSD DOS GreyОперационная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 8 Гб; накопитель SSD 128 Гб; вес от 1.8 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515ma-intel-pentium-n5030-8gb-ddr4-128gb-ssd-dos-grey
Ноутбук Asus TUF Gaming F15 FX506LU AMD Ryzen 5 4600H 8GB DDR 512GB SSD Nvidia GTx 1660Ti 6GB FHD;94270 сом;"Ноутбук Asus TUF Gaming F15 FX506LU AMD Ryzen 5 4600H 8GB DDR 512GB SSD Nvidia GTx 1660Ti 6GB FHDТип: ноутбук; Операционная система: DOS; Процессор: AMD Ryzen 5-4600H; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia GTX 1660Ti; Объем оперативной памяти: 8 Gb DDR4; Объем накопителя SSD: 512 Gb; Вес: от 2.3 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-tuf-gaming-f15-fx506lu-amd-ryzen-5-4600h-8gb-ddr-512gb-ssd-nvidia-gtx-1660ti-6gb-fhd
Ноутбук HP Probook 450 G7 Intel Core i3-10110U 8GB DDR4 128GB SSD FHD DOS BL серебристый;60960 сом;"Ноутбук HP Probook 450 G7 Intel Core i3-10110U 8GB DDR4 128GB SSD FHD DOS BL серебристыйОперационная система DOS; 2х-ядерный процессор 2.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 128 Гб; подсветка клавиатуры; вес от 2 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-hp-probook-450-g7-intel-core-i3-10110u-8gb-ddr4-128gb-ssd-fhd-dos-bl-serebristyy
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 1000GB HDD + 512GB SSD Nvidia Geforce MX230 2GB HD черный;56530 сом;"Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 1000GB HDD + 512GB SSD Nvidia Geforce MX230 2GB HD черныйТип: ноутбук; Процессор: Intel Core i3-10110U; Разрешение экрана: 1366x768 HD; Графический контроллер: Nvidia GeForce MX230; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000 GB; Объем накопителя SSD: 512 GB; Вес: от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-aspire-a315-55g-intel-core-i3-10110u-8gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-geforce-mx230-2gb-hd-chernyy
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 256GB SSD FHD DOS Black;50100 сом;"Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 256GB SSD FHD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 12 Гб; накопитель HDD 1000 Гб + SSD 256 Гб; DVDRW нет; вес...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-52-intel-core-i3-1005g1-12gb-ddr4-1000gb-hdd-256gb-ssd-fhd-dos-black
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 12GB DDR4 128GB SSD NVIDIA MX230 DOS Black;51580 сом;"Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 12GB DDR4 128GB SSD NVIDIA MX230 DOS BlackОперационная система DOS; 2х-ядерный процессор 2.1 ГГц; видеоадаптер дискретный; экран 15.6"" TN 1366x768; объем оперативной памяти 12 Гб; накопитель SSD 128 Гб; DVDRW нет; вес от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-aspire-a315-55g-intel-core-i3-10110u-12gb-ddr4-128gb-ssd-nvidia-mx230-dos-black
Ноутбук Asus X515MA Intel Pentium N5030 4GB DDR4 256GB SSD DOS Grey;35210 сом;"Ноутбук Asus X515MA Intel Pentium N5030 4GB DDR4 256GB SSD DOS GreyОперационная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 256 Гб; вес от 1.8 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515ma-intel-pentium-n5030-4gb-ddr4-256gb-ssd-dos-grey
Ноутбук Asus TUF Dash F15 FX516PR Intel Core i5-11300H 16GB DDR4 512GB SSD Nvidia RTX 3060 6GB FHD DOS серый;130690 сом;"Ноутбук Asus TUF Dash F15 FX516PR Intel Core i5-11300H 16GB DDR4 512GB SSD Nvidia RTX 3060 6GB FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-11300H; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia RTX 3060; Объем оперативной памяти: 16 Gb DDR4; Объем накопителя SSD: 512 Gb; Вес: от 2 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-tuf-dash-f15-fx516pr-intel-core-i5-11300h-16gb-ddr4-512gb-ssd-nvidia-rtx-3060-6gb-fhd-dos-seryy
Ноутбук Asus X509J Intel Core i3-1005G1 8GB DDR4 1000GB HDD Intel HD Graphics 620 FHD DOS Transparent Silver;42530 сом;"Ноутбук Asus X509J Intel Core i3-1005G1 8GB DDR4 1000GB HDD Intel HD Graphics 620 FHD DOS Transparent SilverТип: ноутбук; Операционная система: DOS; ,Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920 x 1080 Full HD; Графический контроллер: Intel Graphics Gen10; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000 GB; Вес: от 1.8 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x509j-intel-core-i3-1005g1-8gb-ddr4-1000gb-hdd-intel-hd-graphics-620-fhd-dos-transparent-silver
Ноутбук HP Probook 450 G7 Intel Core i3-10110U 12GB DDR4 128GB SSD FHD DOS BL серебристый;63130 сом;"Ноутбук HP Probook 450 G7 Intel Core i3-10110U 12GB DDR4 128GB SSD FHD DOS BL серебристыйОперационная система DOS; 2х-ядерный процессор 2.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 12 Гб; накопитель SSD 128 Гб; подсветка клавиатуры; вес от 2 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-hp-probook-450-g7-intel-core-i3-10110u-12gb-ddr4-128gb-ssd-fhd-dos-bl-serebristyy
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 1000GB HDD Nvidia Geforce MX230 2GB HD черный;49320 сом;"Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 1000GB HDD Nvidia Geforce MX230 2GB HD черныйТип: ноутбук; Процессор: Intel Core i3-10110U; Разрешение экрана: 1366x768 HD; Графический контроллер: Nvidia GeForce MX230; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000 GB; Вес: от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-aspire-a315-55g-intel-core-i3-10110u-8gb-ddr4-1000gb-hdd-nvidia-geforce-mx230-2gb-hd-chernyy
Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 512GB SSD FHD DOS Black;49230 сом;"Ноутбук Acer Extensa EX215-52 Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 512GB SSD FHD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 8 Гб; накопитель HDD 1000 Гб + SSD 512 Гб; DVDRW нет; вес...";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-extensa-ex215-52-intel-core-i3-1005g1-8gb-ddr4-1000gb-hdd-512gb-ssd-fhd-dos-black
Ноутбук Asus ROG Strix G17 AMD Ryzen 7-5800H 16GB DDR4 1000GB SSD NVIDIA RTX3070 FHD DOS Grey;219010 сом;"Ноутбук Asus ROG Strix G17 AMD Ryzen 7-5800H 16GB DDR4 1000GB SSD NVIDIA RTX3070 FHD DOS GreyОперационная система DOS; 8х-ядерный процессор 3.2 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель SSD 1000 Гб; вес от 2.7 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-rog-strix-g17-amd-ryzen-7-5800h-16gb-ddr4-1000gb-ssd-nvidia-rtx3070-fhd-dos-grey
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 12GB DDR4 256GB SSD NVIDIA MX230 DOS Black;52450 сом;"Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 12GB DDR4 256GB SSD NVIDIA MX230 DOS BlackОперационная система DOS; 2х-ядерный процессор 2.1 ГГц; видеоадаптер дискретный; экран 15.6"" TN 1366x768; объем оперативной памяти 12 Гб; накопитель SSD 256 Гб; DVDRW нет; вес от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-aspire-a315-55g-intel-core-i3-10110u-12gb-ddr4-256gb-ssd-nvidia-mx230-dos-black
Ноутбук Asus X515MA Intel Pentium N5030 8GB DDR4 256GB SSD DOS Grey;36520 сом;"Ноутбук Asus X515MA Intel Pentium N5030 8GB DDR4 256GB SSD DOS GreyОперационная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 1.8 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x515ma-intel-pentium-n5030-8gb-ddr4-256gb-ssd-dos-grey
Ноутбук Asus X509J Intel Core i3-1005G1 12GB DDR4 1000GB HDD Intel HD Graphics 620 FHD DOS Transparent Silver;44270 сом;"Ноутбук Asus X509J Intel Core i3-1005G1 12GB DDR4 1000GB HDD Intel HD Graphics 620 FHD DOS Transparent SilverТип: ноутбук; Операционная система: DOS; ,Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920 x 1080 Full HD; Графический контроллер: Intel Graphics Gen10; Объем оперативной памяти: 12 GB DDR4; Объем накопителя HDD: 1000 GB; Вес: от 1.8 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-asus-x509j-intel-core-i3-1005g1-12gb-ddr4-1000gb-hdd-intel-hd-graphics-620-fhd-dos-transparent-silver
Ноутбук HP Probook 450 G7 Intel Core i3-10110U 16GB DDR4 128GB SSD FHD DOS BL серебристый;65300 сом;"Ноутбук HP Probook 450 G7 Intel Core i3-10110U 16GB DDR4 128GB SSD FHD DOS BL серебристыйОперационная система DOS; 2х-ядерный процессор 2.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель SSD 128 Гб; подсветка клавиатуры; вес от 2 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-hp-probook-450-g7-intel-core-i3-10110u-16gb-ddr4-128gb-ssd-fhd-dos-bl-serebristyy
Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 256GB SSD Nvidia Geforce MX230 2GB HD черный;50270 сом;"Ноутбук Acer Aspire A315-55G Intel Core i3-10110U 8GB DDR4 256GB SSD Nvidia Geforce MX230 2GB HD черныйТип: ноутбук; Процессор: Intel Core i3-10110U; Разрешение экрана: 1366x768 HD; Графический контроллер: Nvidia GeForce MX230; Объем оперативной памяти: 8 GB DDR4; Объем накопителя SSD: 256 GB; Вес: от 1.9 кг";Уточняйте наличие;https://www.kivano.kg/product/view/noutbuk-acer-aspire-a315-55g-intel-core-i3-10110u-8gb-ddr4-256gb-ssd-nvidia-geforce-mx230-2gb-hd-chernyy
